PLAYER_ID,PLAYER,Team,WinPct,OPTPM,DPTPM,PTPM,Scoring,Passing,OffPoss,RimProtection,DefPoss,TeamDefEffect,StablizedPTPM
203077,Michael Kidd-Gilchrist,CHA,0.439,-0.67,2.02,1.34,0.01,-0.36,0.7,0.47,0.05,1.46,0.5
202689,Kemba Walker,CHA,0.439,0.21,0.28,0.48,0.24,0.84,-0.02,0.29,0.2,0.2,0.1
202687,Bismack Biyombo,CHA,0.439,-0.86,1.31,0.45,-0.04,-1.29,1.45,0.58,-0.4,1.09,-0.4
201945,Gerald Henderson,CHA,0.439,-0.67,0.6,-0.07,0.06,0.25,0.1,0.55,-0.81,0.86,-0.5
2744,Al Jefferson,CHA,0.439,0.24,-0.33,-0.09,0.31,-0.33,0.88,-0.01,0.13,0.08,-0.5
203469,Cody Zeller,CHA,0.439,-1.14,0.84,-0.31,-0.03,-0.48,0.51,0.26,0.04,0.77,-0.7
101107,Marvin Williams,CHA,0.439,-1.29,0.69,-0.59,0.05,-0.77,0.48,0.12,0.7,0.36,-0.9
101131,Jason Maxiell,CHA,0.439,-1.69,0.83,-0.86,-0.42,-1.26,1.44,0.19,-0.27,1.04,-1.4
203148,Brian Roberts,CHA,0.439,-0.65,-0.85,-1.5,0.01,0.57,-0.07,-0.11,-0.9,0.5,-1.7
203798,PJ Hairston,CHA,0.439,-2.32,0.02,-2.29,-0.46,-0.83,0.63,-0.11,0.26,0.39,-2.4
202362,Lance Stephenson,CHA,0.439,-3.02,-1.08,-4.1,-0.97,1.43,-0.98,-0.32,-0.49,0.27,-3.8
202390,Gary Neal,CHA,0.439,-2.18,-2.26,-4.44,-0.29,0.22,-0.47,-0.65,-1.05,0.08,-4
202710,Jimmy Butler,CHI,0.594,2.18,0.58,2.76,1.01,0.22,0.73,0.12,0.93,0.12,2.2
2200,Pau Gasol,CHI,0.594,0.68,1.01,1.68,0.66,0.07,0.26,1.1,-0.35,0.24,1.2
202703,Nikola Mirotic,CHI,0.594,0.25,-0.16,0.09,0.58,-0.32,0.39,-0.72,0.66,0.62,-0.5
201959,Taj Gibson,CHI,0.594,-0.4,0.47,0.08,0.12,-0.54,0.91,0.76,-0.34,0.2,-0.4
2399,Mike Dunleavy,CHI,0.594,0.25,-0.29,-0.05,0.46,-0.33,0.63,0.26,-0.47,0.24,-0.5
201149,Joakim Noah,CHI,0.594,-1.07,0.32,-0.75,-0.46,0.47,0.53,0.28,0.05,0.33,-1
